organization,current_role,data_challenge,data_skills_assessing_and_improving_the_quality_of_data,data_skills_communicating_data_insights_effectively,data_skills_creating_and_using_data_visualisations,data_skills_data_policy_and_legislation,data_skills_data_privacy_and_security,data_skills_finding_data_to_help_my_work,data_skills_including_data_considerations_in_contracts_and_agreements,data_skills_publishing_real_time_data,data_skills_releasing_open_data,data_skills_requesting_data_held_by_another_agency,data_skills_research_methodologies,data_skills_sharing_data_outside_my_organization,data_skills_simple_advice_on_what_data_is_and_how_it_applies_to_my_work,data_skills_understanding_data_governance_rules,data_skills_using_data_to_improve_decisions_and_service_delivery,data_skills_understanding_of_corporate_data_management_processes,data_skills_other_please_specify,data_related_learning_artificial_intelligence,data_related_learning_big_data,data_related_learning_computer_programming_or_coding,data_related_learning_data_sharing,data_related_learning_data_ethics_and_security,data_related_learning_machine_learning,data_related_learning_predictive_analytics,data_related_learning_statistics,data_related_learning_other_please_specify,learning_needs_self_paced_e_learning,learning_needs_video_tutorials,learning_needs_webinars,learning_needs_one_day_workshop,learning_needs_weeklong_workshop,learning_needs_online_tools_and_resources,learning_needs_a_classroom_environment_training_course,learning_needs_a_collaborative_online_community,learning_needs_mentoring,learning_needs_university_courses_and_degrees,learning_needs_all_of_the_above
BC Public Service Agency,Data professionals,"The lack of management, senior leaders and executive with even a basic understanding of data, research, IT systems, and analytics is detrimental to the success of any initiative that has data as a central focus and/or support. It's not enough for a leader to be a champion or an advocate for data, the leadership must have some degree of background and insight into the field to provide genuinely meaningful support. Otherwise, we're confronted with the challenge that I encounter on a daily basis that in the absence of a clear vision, strategy, business planning, resource allocation and operational support to ensure data focused initiatives actually succeed, the working level folks who do have the skill sets have to manage up. In many cases, it's working level data professionals who actually provide the leadership, vision and innovations for corporate initiatives, and the leadership are at best an impediment to the work, and at worst actively sabotage the initiative through their lack of data competence and literacy.

",not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,not selected,not selected,not selected,selected,selected,selected,Deploying machine learning/AI solutions in live data environments,selected,selected,not selected,not selected,selected,not selected,not selected,selected,not selected,selected,not selected
Agriculture,Business users,"Data systems that haven't been brought up to current day standards or actively managed by data systems specialists. Our data systems have been underfunded for 15 years so our data is very limited. 

I compare Data and data management systems to physical infrastructure in the real world (roads, bridges, water and sewer systems) - no one likes to spend the actual amount of money that is required to keep it maintained. They put in an expensive system and then ignore it/underfund management/upkeep for 30 years till its functioning so badly it needs a total replacement.",selected,selected,selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,selected,not selected,not selected,selected,selected,NA,not selected,not selected,selected,selected,selected,not selected,not selected,selected,NA,not selected,selected,selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected
Government Communications and Public Engagement,Business users,The lack of service performance data.,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Environment and Climate Change Strategy,Data professionals,Training to learn the next set of skills and getting people to see the value/understand the important role of data science platforms in our work.,selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,NA,not selected,selected,selected,selected,not selected,not selected,not selected,selected,NA,selected,selected,selected,selected,not selected,selected,selected,selected,selected,not selected,not selected
Agriculture,Business users,"Database is not functional making file management cumbersome and inefficient. It's not easy to find required records and things get easily lost. Our database also has no integration with any other government databases, and our Compliance & Enforcement branch is using a separate database entirely which adds even more challenges and creates work duplication.",selected,selected,selected,selected,not selected,not selected,selected,selected,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,NA,selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
BC Public Service Agency,Data professionals,Lack of data dictionaries,selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
Public Sector Employers' Council Secretariat,Executive users,The use and extrapolation of public sector compensation data to inform Government funding decisions.,selected,selected,selected,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Citizens' Services,Business users,Finding data to inform policy recommendations; leadership support for evidence-based recommendations rather than seeking evidence to support a pre-determined decision,not selected,selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,not selected,selected,selected,not selected,selected,not selected,NA,selected,not selected,selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected
Social Development and Poverty Reduction,Business users,getting less descriptive and more predictive with the data,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,selected,not selected,not selected
Finance,Business users,"Data collection and sharing. 
We have our own surveys that run on specific cycles, but getting data from our stakeholders can be a challenge. Some problems stem from turnover at the organizations, so new users are not aware of the requirements or not familiar with their organizations data. 
Others issues arise from people not being knowledgeable about how to make use of data and they may design a survey without consulting the data professionals, thus not capturing key dimensions or elements that would greatly aid in analysis and comparisons across data sets.",selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,NA,not selected,selected,selected,selected,not selected,not selected,selected,selected,NA,selected,selected,selected,selected,not selected,selected,selected,selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,Internal data store for sensitive info that is still accessible for read/write/edit by users on workstations or mobile devices. Internal could be servers owned by BCGov or some Canadian Cloud solution that we're allowed to utilize that gives us user access control.,not selected,not selected,not selected,not selected,not selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,selected,not selected,NA,selected,selected,selected,selected,not selected,not selected,selected,selected,NA,selected,selected,selected,selected,not selected,selected,selected,selected,selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,Getting local (regional) data published to allow consistent access to external clients,selected,not selected,selected,not selected,selected,not selected,selected,selected,selected,selected,not selected,selected,not selected,selected,not selected,selected,NA,not selected,selected,not selected,selected,selected,not selected,selected,selected,NA,selected,selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Agriculture,Data professionals,"Currency/validity of data. I manage a database for a voluntary Provincial program with no mechanism to either verify the information provided (beyond a registrant signature) or get registrants to update their accounts.

If that's not what you are looking for, as a new employee I find the BCGW layers very difficult to navigate in ArcGIS. Naming conventions are not clear or understandable. I have to search for what I want in DataBC and then search for that dataset in a big list in the Catalog pane.",selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,NA,selected,selected,selected,not selected,not selected,selected,selected,selected,selected,selected,not selected
Finance,Business users,"Being able to apply new data techniques to data. While there has been tremendous growth in new techniques, it is often hard to translate the new technique into practical use in daily work. I can see the potential, but moving from theory to practice is challenging. There are great training packages and literature on the subject, but these are general and have their own example data. It would be nice to have assistance in figuring out how to apply to my situations.",selected,selected,not selected,selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,selected,not selected,not selected,selected,selected,selected,NA,selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected
"Energy, Mines and Petroleum Resources",Data professionals,Missing data/incomplete data.,selected,selected,selected,not selected,not selected,selected,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,selected,not selected,NA,selected,selected,not selected,not selected,not selected,selected,selected,not selected,NA,selected,not selected,selected,selected,not selected,selected,selected,not selected,not selected,not selected,selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,"- would be nice to see more metadata like field names, description - perhaps key domain values and description
- domain values and description, perhaps a how to guide
- open data, not all data is available
- which fields use the corporate look up tables for values and codes, would nice if they were clearly identified in the metadata",not selected,not selected,not selected,not selected,selected,selected,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,selected,NA,selected,selected,selected,not selected,not selected,selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
Mental Health and Addictions,Business users,Linking data across government in a timely way for use by external partners to evaluate and monitor public policy.,selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
Citizens' Services,Business users,I don't use data often enough. Not sure where to find it or what would be useful to my executive.,not selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
Health,Business users,Knowing where to find it when I need it (new to gov employee),selected,selected,selected,selected,selected,selected,selected,not selected,not selected,selected,selected,not selected,not selected,selected,selected,selected,NA,selected,selected,not selected,selected,selected,not selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,NA,selected,selected,not selected,not selected,not selected,not selected,not selected,selected,selected,selected,selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,not selected,not selected,not selected,selected,not selected,not selected,NA,selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected,selected,not selected
Citizens' Services,Business users,There are so many data initiatives happening at the moment it's hard to keep track.,selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,NA,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,"Government applications of the above. Also Geospatial applications use of Big Data, real time data.",not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
Public Safety and Solicitor General,Data professionals,privacy,not selected,selected,selected,selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,"The lack of a spatial database on a dedicated server for project work
- quicker turnarounds
- flexibility to change schemas depending on shifting client requirements (the BC Geographic Warehouse can't do this)
- collaboration w/ GIS pros in gov't around the province",not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,NA,selected,selected,selected,selected,not selected,not selected,selected,selected,not selected,not selected,not selected
Citizens' Services,Business users,"Good quality data foundation is important as it supports the development of applications/systems (that support decisions).  Majority of business owners don't appreciate how important data is until they are knee deep into a application/system build and realize they're stuck waiting on getting the data organized - worse case, the data is then organized to meet the needs of a specific application/system and its value cannot be realized by other users.",not selected,not selected,selected,selected,not selected,selected,selected,not selected,selected,not selected,not selected,selected,not selected,selected,not selected,selected,NA,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
Mental Health and Addictions,Business users,"Key challenge: Generating and gathering data from a wide range of sources, reporting in real time to understand both the immediate impact of the provincial overdose emergency and its underlying issues.",selected,selected,selected,selected,selected,not selected,selected,selected,not selected,selected,selected,selected,selected,selected,selected,selected,NA,not selected,selected,not selected,selected,selected,not selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
Citizens' Services,Business users,Data integrity,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,selected,not selected,selected,not selected,not selected,NA,not selected,selected,not selected,selected,not selected,selected,not selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected
Public Safety and Solicitor General,Business users,NA,selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,NA,selected,selected,not selected,not selected,selected,not selected,not selected,selected,NA,selected,not selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected
Education,Business users,Being able to summarize a large data set into useful tables (using pivot tables or other methods),not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,NA,selected,not selected,selected,selected,not selected,selected,not selected,selected,not selected,not selected,not selected
Finance,Business users,NA,not selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,NA,selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Health,Data professionals,Getting access to data,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,NA,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,not selected
Environment and Climate Change Strategy,Business users,Systems I use require constant updates or changes so that we can input data and access it later. These updates can take months or years to occur thus creating more work for my team.,selected,selected,selected,selected,selected,selected,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,selected,NA,selected,selected,selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected
Citizens' Services,Business users,NA,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,NA,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,NA,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected
Environment and Climate Change Strategy,Data professionals,Accessability,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected
Attorney General,Executive users,understanding how to meaningfully collect and use data to support decision making.,selected,selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,selected,not selected,selected,selected,not selected,not selected,selected,NA,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,selected,not selected,not selected
Citizens' Services,Business users,"Understanding the needs of business units working towards digital government for policy and legislative development around privacy protection, advancing technology, and so on.",not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,selected,selected,NA,selected,selected,not selected,selected,selected,selected,not selected,not selected,NA,selected,not selected,not selected,selected,selected,selected,not selected,selected,not selected,not selected,not selected
Education,Data professionals,Poor communication of business processes.,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,selected,NA,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Environment and Climate Change Strategy,Business users,Providing feedback and helping to manage systems I don't understand.  I'm a scientific professional and tasked with managing improvements/fixes for one of our systems.  It's complicated and takes up a lot of time.  I think this role would be better suited to a IT specialist/developer who could manage/integrate all of our systems and work at improving our systems as their FTE.  Take the contracts & contractors out of it.,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,publishing,not selected,selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,NA,not selected,selected,selected,selected,not selected,selected,not selected,not selected,selected,not selected,not selected
Public Safety and Solicitor General,Business users,Obtaining timely access to gov't data within a quick turnaround time,selected,selected,selected,not selected,not selected,selected,not selected,selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected
Education,Business users,NA,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,NA,selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected
Education,Business users,NA,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,selected,not selected,not selected,not selected,selected,selected,NA,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
Finance,Business users,"accessible data that provides context, point in time, etc",selected,selected,selected,not selected,not selected,selected,selected,not selected,selected,selected,selected,not selected,selected,not selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
Government Communications and Public Engagement,Business users,"Data comes to me in complex language that is not accessible, and I need to translate it and make it visual through info graphics or data visualization methods.",not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,not selected,not selected,not selected
BC Public Service Agency,Data professionals,"The lack of good Data Governance resulting in issues such as data ownership, data responsibility and approving data standards.",not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,NA,not selected,not selected,not selected,selected,selected,not selected,not selected,selected,NA,selected,selected,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,not selected
